number,name,status
684,A Per-Interpreter GIL,Final
661,Sentinel Values,Final
678,Enriching Exceptions with Notes,Final
657,Include Fine Grained Error Locations in Tracebacks,Final
656,Platform Tag for Linux Distributions Using Musl,Final
655,Marking individual TypedDict items as required or potentially-missing,Final
670,Convert macros to functions in the Python C API,Final
652,Maintaining the Stable ABI,Final
647,User-Defined Type Guards,Final
649,Deferred Evaluation Of Annotations Using Descriptors,Final
644,Require OpenSSL 1.1.1 or newer,Final
660,Editable installs for pyproject.toml based builds (wheel based),Final
634,Structural Pattern Matching: Specification,Final
639,Improving License Clarity with Better Package Metadata,Final
632,Deprecate distutils module,Final
654,Exception Groups and except*,Final
629,Versioning PyPI’s Simple API,Final
627,Recording installed projects,Final
626,Precise line numbers for debugging and other tools.,Final
646,Variadic Generics,Final
624,Remove Py_UNICODE encoder APIs,Final
643,Metadata for Package Source Distributions,Final
621,Storing project metadata in pyproject.toml,Final
618,Add Optional Length-Checking To zip,Final
616,String methods to remove prefixes and suffixes,Final
628,Add ,Final
625,Filename of a Source Distribution,Final
613,Explicit Type Aliases,Final
614,Relaxing Grammar Restrictions On Decorators,Final
612,Parameter Specification Variables,Final
623,Remove wstr from Unicode,Final
600,Future ‘manylinux’ Platform Tags for Portable Linux Built Distributions,Final
597,Add optional EncodingWarning,Final
617,New PEG parser for CPython,Final
594,Removing dead batteries from the standard library,Final
615,Support for the IANA Time Zone Database in the Standard Library,Final
592,Adding “Yank” Support to the Simple API,Final
591,Adding a final qualifier to typing,Final
589,TypedDict: Type Hints for Dictionaries with a Fixed Set of Keys,Final
590,Vectorcall: a fast calling protocol for CPython,Final
610,Recording the Direct URL Origin of installed distributions,Final
604,Allow writing union types as ,Final
586,Literal Types,Final
585,Type Hinting Generics In Standard Collections,Final
593,Flexible function and variable annotations,Final
584,Add Union Operators To dict,Final
573,Module State Access from C Extension Methods,Final
570,Python Positional-Only Parameters,Final
572,Assignment Expressions,Final
566,Metadata for Python Software Packages 2.1,Final
587,Python Initialization Configuration,Final
564,Add new time functions with nanosecond resolution,Final
578,Python Runtime Audit Hooks,Final
562,Module __getattr__ and __dir__,Final
574,Pickle protocol 5 with out-of-band data,Final
567,Context Variables,Final
557,Data Classes,Final
552,Deterministic pycs,Final
561,Distributing and Packaging Type Information,Final
565,Show DeprecationWarning in __main__,Final
560,Core support for typing module and generic types,Final
539,A New C-API for Thread-Local Storage in CPython,Final
538,Coercing the legacy C locale to a UTF-8 based locale,Final
530,Asynchronous Comprehensions,Final
553,Built-in breakpoint(),Final
544,Protocols: Structural subtyping (static duck typing),Final
527,Removing Un(der)used file types/extensions on PyPI,Final
525,Asynchronous Generators,Final
526,Syntax for Variable Annotations,Final
520,Preserving Class Attribute Definition Order,Final
540,Add a new UTF-8 Mode,Final
529,Change Windows filesystem encoding to UTF-8,Final
518,Specifying Minimum Build System Requirements for Python Projects,Final
519,Adding a file system path protocol,Final
528,Change Windows console encoding to UTF-8,Final
517,A build-system independent format for source trees,Final
506,Adding A Secrets Module To The Standard Library,Final
523,Adding a frame evaluation API to CPython,Final
524,Make os.urandom() blocking on Linux,Final
495,Local Time Disambiguation,Final
493,HTTPS verification migration tools for Python 2.7,Final
489,Multi-phase extension module initialization,Final
488,Elimination of PYO files,Final
508,Dependency specification for Python Software Packages,Final
498,Literal String Interpolation,Final
503,Simple Repository API,Final
515,Underscores in Numeric Literals,Final
487,Simpler customisation of class creation,Final
485,A Function for testing approximate equality,Final
477,Backport ensurepip (PEP 453) to Python 2.7,Final
475,Retry system calls failing with EINTR,Final
492,Coroutines with async and await syntax,Final
471,os.scandir() function – a better and faster directory iterator,Final
466,Network Security Enhancements for Python 2.7.x,Final
468,Preserving the order of **kwargs in a function.,Final
486,Make the Python Launcher aware of virtual environments,Final
476,Enabling certificate verification by default for stdlib http clients,Final
479,Change StopIteration handling inside generators,Final
484,Type Hints,Final
461,Adding % formatting to bytes and bytearray,Final
456,Secure and interchangeable hash algorithm,Final
454,Add a new tracemalloc module to trace Python memory allocations,Final
451,A ModuleSpec Type for the Import System,Final
446,Make newly created file descriptors non-inheritable,Final
465,A dedicated infix operator for matrix multiplication,Final
445,Add new APIs to customize Python memory allocators,Final
443,Single-dispatch generic functions,Final
441,Improving Python ZIP Application Support,Final
453,Explicit bootstrapping of pip in Python installations,Final
436,The Argument Clinic DSL,Final
435,Adding an Enum type to the Python standard library,Final
450,Adding A Statistics Module To The Standard Library,Final
448,Additional Unpacking Generalizations,Final
428,The pathlib module – object-oriented filesystem paths,Final
424,A method for exposing a length hint,Final
442,Safe object finalization,Final
440,Version Identification and Dependency Specification,Final
418,"Add monotonic time, performance counter, and process time functions",Final
417,Including mock in the Standard Library,Final
427,The Wheel Binary Package Format 1.0,Final
425,Compatibility Tags for Built Distributions,Final
412,Key-Sharing Dictionary,Final
409,Suppressing exception context,Final
421,Adding sys.implementation,Final
420,Implicit Namespace Packages,Final
393,Flexible String Representation,Final
